"countofbarcode","barcode","location1","itemno1","location2","itemno2","location3","itemno3","location4","itemno4"
2,"C037878085","nbmau","i19998217x","ma","i127679352","","","",""
2,"C037878094","ma","i127679376","nbmau","i199982193","","","",""
2,"C037878100","ma","i127679753","nbmau","i199984633","","","",""
2,"C037878119","ma","i127679546","nbmau","i199983689","","","",""
2,"C037878128","nbmau","i199983677","ma","i127679534","","","",""
2,"C037878137","ma","i127679819","nbmau","i199984840","","","",""
2,"C037878146","ma","i127679510","nbmau","i199983641","","","",""
2,"C037878155","ma","i127679455","nbmau","i199983100","","","",""
2,"C037878164","nbmau","i199983112","ma","i127679467","","","",""
2,"C037878173","nbmau","i199982223","ma","i127679406","","","",""
2,"C037878182","nbmau","i199983653","ma","i127679522","","","",""
2,"C037878191","ma","i127679443","nbmau","i199983094","","","",""
2,"C037878207","nbmau","i199982168","ma","i127679340","","","",""
2,"C037878216","nbmau","i199984864","ma","i127679844","","","",""
2,"C037878225","nbmau","i199983690","ma","i12767956x","","","",""
2,"C037878234","ma","i127679364","nbmau","i199982181","","","",""
2,"C037878243","nbmau","i199984852","ma","i127679832","","","",""
2,"C037878252","nbmau","i199984244","ma","i127679601","","","",""
2,"C037878261","ma","i127679509","nbmau","i19998363x","","","",""
2,"C037878270","ma","i127679492","nbmau","i199983628","","","",""
2,"C037878289","ma","i127679418","nbmau","i199982296","","","",""
2,"C037878298","nbmau","i19998220x","ma","i127679388","","","",""
2,"C040700908","es","i133001155","es","i207505263","","","",""
2,"C040772636","nbtbr","i15966133x","nbtbr","i159661328","","","",""
2,"C041445586","ma","i109224243","ma","i207931306","","","",""
2,"C041544497","ma","i127679662","nbmau","i199984451","","","",""
2,"C041544600","ma","i127679650","nbmau","i19998444x","","","",""
2,"C042274781","mtp","i109175621","mtp","i220433999","","","",""
2,"C043042351","ma","i210163963","nbmau","i210163951","","","",""
2,"C043291159","tbo","i100359127","tbo","i100358998","","","",""
2,"C043340404","tu","i153222244","nbtur","i200047036","","","",""
2,"C043340413","tu","i174646008","nbtur","i200047048","","","",""
2,"C043340422","nbtur","i20004705x","tu","i153231221","","","",""
2,"C043340431","tu","i187125934","nbtur","i200047061","","","",""
2,"C043340440","tu","i187821872","nbtur","i200047073","","","",""
2,"C043340459","nbtur","i200047085","tu","i15327587x","","","",""
2,"C044447321","nbmau","i199984803","ma","i127679807","","","",""
2,"C044447394","nbmau","i199984591","ma","i12767973x","","","",""
2,"C044768382","ma","i127679613","nbmau","i199984268","","","",""
2,"C044768391","ma","i127679765","nbmau","i199984645","","","",""
2,"C044771605","ma","i12768007x","nbmau","i199986502","","","",""
2,"C044771960","nbmau","i199986514","ma","i127680068","","","",""
2,"C044772627","nbmau","i199984608","ma","i127679741","","","",""
2,"C044772636","nbmau","i199984876","ma","i127679856","","","",""
2,"C044805284","nbmau","i199984980","ma","i127679972","","","",""
