Hindi,Jump to Record #: 70,=245  \\$aContribution a la re,Jump to Record #: 70,"=100  1\$aHindi, Haider el.",Jump to Record #: 70,=245  10$aContribution {grave}a la resorption cutan{acute}ee des m{acute}edicaments /$cpar Haidar el Hindi.,Jump to Record #: 70
Hingst,Jump to Record #: 71,=245  \\$aBeitrag zur statisti,Jump to Record #: 71,"=100  1\$aHingst, Volker,$d1948-",Jump to Record #: 71,=245  14$aDie chronische Form der Sarkoidose :$beine Literatur{uml}ubersicht sowie eine Auswertung von Langzeitbeobachtungen an mit der Umstimmungstherapie nach BERDEL behandelten Patienten /$cvon Volker Hingst.,Jump to Record #: 71
Hinnen,Jump to Record #: 72,=245  \\$aAltersveranderungen,Jump to Record #: 72,"=100  1\$aHinnen, Ernst.",Jump to Record #: 72,"=245  14$aDie Altersver{uml}anderungen des vorderen Bulbusabschnittes von 924 gesunden Augen, nach Untersuchungen am Spaltlampenmikroskop /$cvorgelegt von Ernst Hinnen.",Jump to Record #: 72
Hinrichs,Jump to Record #: 73,=245  \\$aErfahrungen bei der,Jump to Record #: 73,"=100  1\$aHinrichs, Gustavus Detlef,$d1836-1923.",Jump to Record #: 73,=245  14$aThe true atomic weights of the chemical elements and the unity of matter /$cby Gustavus Detlef Hinrichs.,Jump to Record #: 73
Hinrichsen,Jump to Record #: 74,=245  \\$aAccommodationskrampf,Jump to Record #: 74,"=100  1\$aHinrichsen, Kay,$d1947-",Jump to Record #: 74,=245  10$aKatamnestische Untersuchungen an 1.631 freiwillig sterilisierten Frauen /$cvon Kay Hinrichsen.,Jump to Record #: 74
Hinschius,Jump to Record #: 75,=245  \\$aUber sectio caesarea,Jump to Record #: 75,"=100  1\$aHinschius, Franz,$d1870-",Jump to Record #: 75,=245  10$a{uml}Uber sectio caesarea conservativa bei engem Becken /$cFranz Hinschius.,Jump to Record #: 75
Hinstorff,Jump to Record #: 76,=245  \\$aGrundumsatzuntersuch,Jump to Record #: 76,"=100  1\$aHinstorff, Detloff,$d1902-",Jump to Record #: 76,=245  10$aGrundumsatzuntersuchungen bei Otosklerose /$cvorgelegt von Detloff Hinstorff.,Jump to Record #: 76
Hinterlang,Jump to Record #: 77,=245  \\$aBeitrag zur frage de,Jump to Record #: 77,"=100  1\$aHinterlang, Hans,$d1910-",Jump to Record #: 77,=245  10$aBeitrag zur Frage des S{uml}auren-Basengleichgewichtes in der Schwangerschaft :$bdas Verhalten der Alkalireserve in der Schwangerschaft /$cvorgelegt von Hans Hinterlang.,Jump to Record #: 77
Hintzmann,Jump to Record #: 78,=245  \\$aUeber anasthesierung,Jump to Record #: 78,"=100  1\$aHintzmann, Walther,$d1902-",Jump to Record #: 78,=245  10$a{uml}Uber das Haemotoxin des Bacillus jordaniformis /$cvorgelegt von Walther Hintzmann.,Jump to Record #: 78
Hirano,Jump to Record #: 79,=245  \\$aUeber einen fall von,Jump to Record #: 79,"=100  1\$aHirano, Nancee M.,$d1957-",Jump to Record #: 79,=245  12$aA secondary analysis to determine the factors associated with attrition in an I Can Cope program evaluation /$cby Nancee M. Hirano.,Jump to Record #: 79
Hirlemann,Jump to Record #: 80,=245  \\$aSur l'ictere hemolyt,Jump to Record #: 80,"=100  1\$aHirlemann, Arnold.",Jump to Record #: 80,=245  10$aSur l'ict{grave}ere h{acute}emolytique constitutionnel et la spl{acute}enectomie /$cpar Arnold Hirlemann.,Jump to Record #: 80
Hirsh,Jump to Record #: 81,=245  \\$aUntersuchungen uber,Jump to Record #: 81,"=100  1\$aHirsh, Ira J.",Jump to Record #: 81,=245  14$aThe measurement of hearing.,Jump to Record #: 81
Hirschbruch,Jump to Record #: 82,"=245  \\$aProblem der ""herzlos",Jump to Record #: 82,"=100  1\$aHirschbruch, Albert,$d1872-",Jump to Record #: 82,"=245  14$aDas Problem der ""herzlosen"" Missgeburten :$bnebst Beschreibung eines Amorphus acardius /$cAlbert Hirschbruch.",Jump to Record #: 82
Hirschfeld-kassmann,Jump to Record #: 83,=245  \\$aBeitrag zur vergleic,Jump to Record #: 83,"=100  1\$aHirschfeld-Kassmann, Hanna,$d1884-",Jump to Record #: 83,=245  10$aBeitrag zur vergleichenden Morphologie der weissen Blutk{uml}orperchen /$cHanna Hirschfeld-Kassmann.,Jump to Record #: 83
Hirschler,Jump to Record #: 84,=245  \\$aZwei einfache zugver,Jump to Record #: 84,"=100  1\$aHirschler, Helene,$d1888-",Jump to Record #: 84,=245  10$aZwei einfache Zugverb{uml}ande zur ambulanten Behandlung von Humerusfrakturen /$cvorgelegt von Helen Hirschler.,Jump to Record #: 84
Hirschowitsch,Jump to Record #: 85,=245  \\$aForstersche operatio,Jump to Record #: 85,"=100  1\$aHirschowitsch, Mowscha,$d1888-",Jump to Record #: 85,=245  14$aDie F{uml}orstersche Operation bei spastischen cerebralen Kinderl{uml}ahmungen /$cvorgelegt von Mowscha Hirschowitsch.,Jump to Record #: 85
Hirschowitz,Jump to Record #: 86,=245  \\$aUber die haufigkeit,Jump to Record #: 86,"=100  1\$aHirschowitz, Sara.",Jump to Record #: 86,"=245  10$a{uml}Uber die H{uml}aufigkeit der Diplobazillenerkrankungen des Auges in Abh{uml}angigkeit von Lebensalter, Beruf, Geschlecht, Jahreszeit und Wohnort /$cvorgelegt von Sara Hirschowitz.",Jump to Record #: 86
Hirth,Jump to Record #: 87,=245  \\$aUeber zwei falle von,Jump to Record #: 87,"=100  1\$aHirth, George Jacob,$d1865-",Jump to Record #: 87,=245  10$aUeber zwei F{uml}alle von tiefen Cervix-Incisionen /$cGeorge Jacob Hirth.,Jump to Record #: 87
